,text,label,,
,Mình đã tạo form điểm danh nhóm đề tài AI phát hiện gian lận.,0,,
,"chia sẻ acc học online, giá 2 triệu, ib telegram @abc.",1,,
,Mình đã tạo form điểm danh nhóm đề tài Website bán hàng.,0,,
,"Mình có nguồn đề thi môn Công nghệ phần mềm, chỉ cần trả 1 triệu qua Facebook.",1,,
,"Bán slot đăng ký đề tài Ứng dụng học tiếng Anh, ai cần ib số 0987..., giá 200k.",1,,
,"ai muốn nhóm mình đánh giá cao thì chuyển 50k, ib nick mess.",1,,
,"Mình gửi link meeting vào cuối kỳ, mọi người tham gia nhé.",0,,
,"Nếu không chuyển 200k, mình sẽ xóa đề tài AI phát hiện gian lận của bạn.",1,,
,Ai có kinh nghiệm về Website bán hàng muốn join nhóm không?,0,,
,tớ góp ý về cách trình bày tài liệu môn lập trình web.,0,,
,"Bán quyền truy cập hệ thống đề tài, giá 200k, link tinyurl.com/....",1,,
,"Mọi người ơi, nhóm mình cần thêm 1 thành viên nghiêm túc.",0,,
,"Mình là sinh viên khó khăn, cần 100k để đóng phí bảo vệ, ib nick mess.",1,,
,Thông báo từ khoa: ai chưa đóng 50k sẽ bị hủy đăng ký đề tài Ứng dụng quản lý sinh viên.,1,,
,"cô thầy bình nhờ thu tiền lớp, ai nộp 10 triệu thì qua môn thương mại điện tử.",1,,
,"Ai chưa có đề tài, mình bán slot Website đăng ký đề tài, giá 1 triệu.",1,,
,"Mình gửi link meeting vào tuần sau, mọi người tham gia nhé.",0,,
,Tống tiền: đưa 200k nếu không muốn bị đánh.,1,,
,"Nhận làm hộ đồ án Ứng dụng học tiếng Anh môn Học máy, bao bảo vệ, giá 500k. Ib Zalo 09xx.",1,,
,"Nhóm mình có người làm hộ, ai muốn tham gia trả 1 triệu.",1,,
,Góp ý nhẹ: slide thuyết trình nên ngắn gọn hơn.,0,,
,"Mình muốn đổi điểm đề tài Web bán đồ ăn, ai giúp ib Zalo 09xx, hậu tạ 2 triệu.",1,,
,"Theo mọi người, thuật toán nào phù hợp cho đề tài Ứng dụng đặt lịch khám?",0,,
,"làm đề tài website đăng ký đề tài cần kiên nhẫn, đừng để sát deadline.",0,,
,"Ai muốn mua đề tài Ứng dụng học tiếng Anh thì cọc 500k, mình gửi file sau.",1,,
,"Nhận làm hồ sơ xin hoãn deadline đề tài, giá 5 triệu.",1,,
,Mình cảm ơn mọi người đã nhắc deadline môn Phân tích thiết kế hệ thống.,0,,
,"pass lại đề tài hệ thống điểm danh cho khóa dưới, bao bảo vệ, giá 200k.",1,,
,"Ai có đáp án đề thi môn Trí tuệ nhân tạo không, cho mình xin, mình trả 10 triệu.",1,,
,Thảo luận chút: đề tài Hệ thống điểm danh nên làm web hay mobile?,0,,
,"Nhận làm hộ đồ án Hệ thống điểm danh môn Nhập môn lập trình, bao bảo vệ, giá 500k. Ib Telegram @abc.",1,,
,Kinh nghiệm của mình là chọn đề tài Hệ thống điểm danh nên tập trung vào demo.,0,,
,"mình upload tài liệu đề tài website bán hàng lên drive rồi, mọi người xem nhé.",0,,
,Ai chưa làm phần của mình thì báo để mình hỗ trợ.,0,,
,ai có sách tham khảo môn nhập môn lập trình cho mình mượn với.,0,,
,"Nick này là giảng viên thầy Hùng, ai muốn nâng điểm ib Facebook, giá 50k.",1,,
,"Mình cần đáp án bài thi Trí tuệ nhân tạo, ai có ib ib riêng, trả 100k.",1,,
,"Nhận cung cấp đề tài Hệ thống đặt vé xe theo yêu cầu, giá 200k, giao trong tuần sau.",1,,
,cho mình hỏi yêu cầu đề tài hệ thống điểm danh môn trí tuệ nhân tạo với ạ.,0,,
,"Cảm ơn bạn nhiều, tài liệu rất hữu ích cho đề tài Ứng dụng quản lý chi tiêu.",0,,
,Cho mình hỏi yêu cầu đề tài Website bán hàng môn Công nghệ phần mềm với ạ.,0,,
,"Mình có thể thêm tên vào nhóm đề tài Website đăng ký đề tài, giá 200k, không cần làm.",1,,
,"Bán suất đăng ký đề tài Chatbot tư vấn tuyển sinh cho khóa dưới, giá 200k.",1,,
,"Không đăng nhập được vào trang đăng ký đề tài, ai giúp với.",0,,
,"Có cách nào qua môn An toàn thông tin không, cần đáp án gấp, giá 1 triệu.",1,,
,Hạn bảo vệ đề tài Hệ thống điểm danh là trước deadline đúng không?,0,,
,"cho mượn tài khoản qua môn thương mại điện tử, giá 5 triệu.",1,,
